id,breed
63d1b332f937aa0de02a3d714c31fd8b,border_terrier
c87d7b6aa6ad07a6af1fde957779c1c8,pekinese
364bbe6fb891f50e904613581d6cf3ac,chihuahua
582ebf05aa9ad5448a2cef5fe2e58053,chesapeake_bay_retriever
04a3f5dc6d985601f354ab4434645d83,greater_swiss_mountain_dog
209d8e99fc9bbdefe264bd4c71200b4b,chihuahua
92c2c86dc5ef0824884d25c81077da5c,soft-coated_wheaten_terrier
59e3b551d67480c6e59493b5f66ce9f9,samoyed
731ae3872320fb542555565038ae573f,redbone
792fa603050f93605bb6329092a07db9,rhodesian_ridgeback
a95e44d25232d5584356a86b894049f1,standard_schnauzer
205d07a4d180e8fad81b27f02436571c,french_bulldog
3af26e391f207a075751b2465ef2f09c,soft-coated_wheaten_terrier
8101b90ffae96e4a152ff3cbbe55a23b,norwich_terrier
7d8583aec106f3b016f07453772da998,norfolk_terrier
d6fb643ed203d7d01db9a4744526f2ea,boston_bull
f343a8b0d587a5f79c7da06732fcb347,labrador_retriever
e9d31fe3a42451dc01c6d2e15ba6ef8d,toy_terrier
556daede719158bd83c4b775844d9bcb,toy_terrier
150a95102a32d2f099b02a445442310b,keeshond
65250c4f093b0a82d682b11cb7c4bc1a,black-and-tan_coonhound
11a7275abdc2e78ff72c59e59189d1eb,blenheim_spaniel
04b5834c3a969c6308ce157c547bb313,basenji
372a1ff10fc425732b742c4f9ae13db4,miniature_pinscher
b4c4ee94372525c264fa01ecefb6d597,greater_swiss_mountain_dog
2d9d74365b727615cd8c026fb5f45010,kelpie
422bda2b195f032680d00e41c06b3e39,chesapeake_bay_retriever
06c47d61293f2bb51a94040bb4b20799,italian_greyhound
16ac25747d1a51db033d6461156ddb0b,kuvasz
a0581987fa74f323e695331abfd4537f,saluki
3c88c3f8bd67f1a274395e845414b4bb,old_english_sheepdog
9584bf3b986648ffcfd08f27b16d3c1f,basset
0169294085e94d1250587b38e4fbb532,kuvasz
648d5aa62cd1d3d2f264133ccd78fed0,blenheim_spaniel
a004e452a808e75b654d898cf776c973,english_setter
815949fad325d5bd758bd46c2bbccfaf,english_setter
f19b045bcf373d6fcf05c80247850d50,boston_bull
9b36711d6b30d9e868622cb2524cd4cf,standard_schnauzer
917c71c8931c03751320006ba9deeada,border_terrier
1d2dd09cd196f0df53134537122bd3ae,leonberg
43337a20c5afaf0cae4b37a7cdf5897e,border_terrier
89b539e909f580be06923c40ec11c477,pug
2c5ceeb88110e5fea161cae699aee8dc,beagle
66cc0caf5507a65f1bf5a339a4e285cb,soft-coated_wheaten_terrier
c8fca164680fb72050b8756b451873df,norwich_terrier
780c591e93d4799c0b53b98198eb14ee,irish_terrier
f831a464cc42602094575fbb18ff1143,kerry_blue_terrier
0484a6cc686a07e1edacd0fb44b1d965,affenpinscher
bbce1f2dcd7160bf39c92d9ace657bb2,japanese_spaniel
e0032d2cfc32a75f448d9f931f6bca19,rhodesian_ridgeback
058d4bfce39c9f1157ca4c1b019bbf1a,scottish_deerhound
2c31c24f9d7afde28a0d7129fd780c67,lhasa
f20709a67b3a33528b56cfbb4ef3237b,west_highland_white_terrier
dd1ec05369df96f7b53cf3a7db056e99,irish_setter
52f9b48b18953ba28b79ce6bfac6dc22,mexican_hairless
39514cb6234af581c66848d85b086cc0,boxer
bb13c838ee59df4d8d7db7e1b62bcfb2,irish_setter
44a449aeb15b049486849397f6d09cc6,scotch_terrier
bc198e31d0c17f265239d4cf515104cf,siberian_husky
8f9b37ee8f502bd3750f0e7573702f13,komondor
80fea72c9bc2a57b24ce7d7da4d959a6,cairn
583ecb9b0612f272a8be2e9960a09424,pug
8a81a9b6ef044de6bb40506e0db1d92e,dingo
d7413008ce8567c15e05cb6894ec49a2,bouvier_des_flandres
83217877553b0d7ba501cf416e4b7b8e,standard_poodle
6a373364046e549a4194f4a4cef1f77b,afghan_hound
99dcd0466a2200c131cd225f4fb60e95,afghan_hound
21ef8a9ce6af47485e7f8ef45d1977d1,miniature_pinscher
0f0effd9b5d25fdab84c2a8ae17d6deb,bouvier_des_flandres
27943110bcfed97bd1daa662a484d870,old_english_sheepdog
fa2a33c1dc8b39ad51738408b289a0de,briard
1b9751b9e60370b5cd02f62a383ec57a,norwegian_elkhound
2ea0a5df97a6dbd3a5cca32bd442dbe9,australian_terrier
fd8bd9ce34326d7fea7b85040510bdbb,bloodhound
a8477825497bebe7ee3fa6c816f6d499,miniature_poodle
7968fee6de08f19f2a783e5b9a8bd46f,scottish_deerhound
87c76585ab973f2ae3e6f20ba061db10,cairn
02b1c50fb7315423a664f3ce68c94e30,dingo
92362bf7e6ef7dffff3b8fd449b528aa,english_foxhound
0ba12512fa4766cc4f8c288cb3b9b95f,border_terrier
4d9bf5e93f2da15e811db580e39de704,brittany_spaniel
bd25f56e9d30f2659f639c8b520053bf,norfolk_terrier
cd00a72c75a1cb3a121a032560b47969,french_bulldog
620ac8fd7f604d91ee5692694dcee6e3,komondor
b106bb7f5c07cfdd55f979ae7a83a41c,malamute
5e8384d94474985bd73e9eefac4aedb9,saint_bernard
5bf21bb033d54f6d0de7380c15a9deb1,entlebucher
66246162973426de2172eabb2dc84f43,english_foxhound
1066d43c5f952120ec355bb56459228a,bouvier_des_flandres
1428026a4472cda58ad13233bb9ad64d,greater_swiss_mountain_dog
59e6c1bb2387ff5f32e6f86bcca02b64,basenji
a379cc5509118133fc0c40ad495e95cb,collie
3ec592f90014587b1c7730210a0b0658,malamute
4656d270f9b179fc428a8d10f63e61e4,pembroke
22ffe5b63e2afd0cb914079f09fdfdd7,basenji
880379ffeea97e48cf12349753838a54,border_terrier
103e4b4c0ebb0e8dabe6d47970fb546b,greater_swiss_mountain_dog
ede38d1fbd47fcc1c408fbd7f0084fef,golden_retriever
a4b52955a828aa7ecb06081718ad89f5,irish_wolfhound
fabd0085e9b6b9c83b9fb419e0a2b5b7,bedlington_terrier
509028dcbf11208ca85e439b8a5063f6,irish_wolfhound
6305b890b2eaa191700137b7f14e6fee,lakeland_terrier
65c0f97251e14cfddda723b209114f80,boston_bull
aac57b0a7685289a66eb1fac7ec2ed2d,walker_hound
6b5bc8cfaa94a5e025210255b099034c,leonberg
6a2ae9099330f8784283b7f16b014ee9,briard
e073b458a33cbfe9b733764a1246f52e,saluki
dad80a5e51ac5266dda64b922118e6b4,komondor
8c1f3220d32d79207534a062bd04fd85,kerry_blue_terrier
4e0eb4b31ed8711963c04e9ffcd2cdbe,whippet
69b282f3d9e81dba018b130b9eb2f3f2,great_pyrenees
482508d37564687d57393b42cccc8c4f,bouvier_des_flandres
c5b6d08c694425175f1c85be059a98ea,lakeland_terrier
1158819241bb6eee2c1ff790a885ecf3,miniature_schnauzer
bbb300ef4fd6a59dbf8bd3a041547ced,whippet
8c36d92a7e002977441fbaa2dbfc32bd,cairn
367f56ff7a3beb336ce41cbca60e4eb7,kuvasz
1cf4f0cb127327c2c84073efab3ce1ef,cardigan
6be3fa489b757dc733bfcaf6675b0577,entlebucher
eb921996f4cc09c35970d0c18a415a2f,bloodhound
b71ba77f52b28c5171c20415a25dd6b9,papillon
e7af8f590b4fbdca0779f5e606ef91a1,german_shepherd
c9fcc35552d72c6141aaf637a3fe394a,schipperke
936dad2f17cd6e7a47bc4a25ec0e0bb7,italian_greyhound
b1e5e40a1122d30cf96febd2fa974938,dingo
58d58b7ce35bfe51429fa6b18fb2d479,dhole
7e588e10f731d4f76f896e017dcdce69,borzoi
eb62cd1de3f75c74bac9941e7f6e8a19,miniature_pinscher
aeb846fd220051321d1295eb7388fe23,giant_schnauzer
